state,county,candidate,party,votes
Georgia,Fannin County,David Perdue,REP,11950
Georgia,Fannin County,Jon Ossoff,DEM,2415
Georgia,Fannin County,Shane Hazel,LIB,297
Georgia,Fayette County,David Perdue,REP,36795
Georgia,Fayette County,Jon Ossoff,DEM,30298
Georgia,Fayette County,Shane Hazel,LIB,1509
Georgia,Floyd County,David Perdue,REP,26671
Georgia,Floyd County,Jon Ossoff,DEM,10470
Georgia,Floyd County,Shane Hazel,LIB,1008
Georgia,Forsyth County,David Perdue,REP,85614
Georgia,Forsyth County,Jon Ossoff,DEM,39202
Georgia,Forsyth County,Shane Hazel,LIB,3383
Georgia,Franklin County,David Perdue,REP,8992
Georgia,Franklin County,Jon Ossoff,DEM,1463
Georgia,Franklin County,Shane Hazel,LIB,187
Georgia,Franklin County, Write-ins,WRI,14
Georgia,Fulton County,Jon Ossoff,DEM,361253
Georgia,Fulton County,David Perdue,REP,145938
Georgia,Fulton County,Shane Hazel,LIB,10973
Georgia,Gilmer County,David Perdue,REP,13160
Georgia,Gilmer County,Jon Ossoff,DEM,2692
Georgia,Gilmer County,Shane Hazel,LIB,384
Georgia,Glascock County,David Perdue,REP,1366
Georgia,Glascock County,Jon Ossoff,DEM,150
Georgia,Glascock County,Shane Hazel,LIB,24
Georgia,Glynn County,David Perdue,REP,25560
Georgia,Glynn County,Jon Ossoff,DEM,14938
Georgia,Glynn County,Shane Hazel,LIB,970
Georgia,Gordon County,David Perdue,REP,19011
Georgia,Gordon County,Jon Ossoff,DEM,4182
Georgia,Gordon County,Shane Hazel,LIB,573
Georgia,Grady County,David Perdue,REP,6962
Georgia,Grady County,Jon Ossoff,DEM,3455
Georgia,Grady County,Shane Hazel,LIB,146
Georgia,Grady County, Write-ins,WRI,0
Georgia,Greene County,David Perdue,REP,7247
Georgia,Greene County,Jon Ossoff,DEM,3763
Georgia,Greene County,Shane Hazel,LIB,152
Georgia,Gwinnett County,Jon Ossoff,DEM,233148
Georgia,Gwinnett County,David Perdue,REP,166533
Georgia,Gwinnett County,Shane Hazel,LIB,10867
Georgia,Habersham County,David Perdue,REP,16366
Georgia,Habersham County,Jon Ossoff,DEM,3337
Georgia,Habersham County,Shane Hazel,LIB,533
Georgia,Hall County,David Perdue,REP,63775
Georgia,Hall County,Jon Ossoff,DEM,23461
Georgia,Hall County,Shane Hazel,LIB,2459
Georgia,Hall County, Write-ins,WRI,0
Georgia,Hancock County,Jon Ossoff,DEM,2858
Georgia,Hancock County,David Perdue,REP,1173
Georgia,Hancock County,Shane Hazel,LIB,66
Georgia,Haralson County,David Perdue,REP,12011
Georgia,Haralson County,Jon Ossoff,DEM,1764
Georgia,Haralson County,Shane Hazel,LIB,335
Georgia,Haralson County, Write-ins,WRI,19
Georgia,Harris County,David Perdue,REP,14279
Georgia,Harris County,Jon Ossoff,DEM,5192
Georgia,Harris County,Shane Hazel,LIB,383
Georgia,Hart County,David Perdue,REP,9377
Georgia,Hart County,Jon Ossoff,DEM,2937
Georgia,Hart County,Shane Hazel,LIB,218
Georgia,Heard County,David Perdue,REP,4412
Georgia,Heard County,Jon Ossoff,DEM,801
Georgia,Heard County,Shane Hazel,LIB,113
Georgia,Heard County, Write-ins,WRI,5
Georgia,Henry County,Jon Ossoff,DEM,71592
Georgia,Henry County,David Perdue,REP,47486
Georgia,Henry County,Shane Hazel,LIB,2631
Georgia,Houston County,David Perdue,REP,41428
Georgia,Houston County,Jon Ossoff,DEM,30955
Georgia,Houston County,Shane Hazel,LIB,1779
Georgia,Irwin County,David Perdue,REP,3095
Georgia,Irwin County,Jon Ossoff,DEM,982
Georgia,Irwin County,Shane Hazel,LIB,67
Georgia,Jackson County,David Perdue,REP,29166
Georgia,Jackson County,Jon Ossoff,DEM,7262
Georgia,Jackson County,Shane Hazel,LIB,955
Georgia,Jasper County,David Perdue,REP,5751
Georgia,Jasper County,Jon Ossoff,DEM,1690
Georgia,Jasper County,Shane Hazel,LIB,151
Georgia,Jeff Davis County,David Perdue,REP,4574
Georgia,Jeff Davis County,Jon Ossoff,DEM,1013
Georgia,Jeff Davis County,Shane Hazel,LIB,111
Georgia,Jefferson County,Jon Ossoff,DEM,3913
Georgia,Jefferson County,David Perdue,REP,3539
Georgia,Jefferson County,Shane Hazel,LIB,102
Georgia,Jenkins County,David Perdue,REP,2155
Georgia,Jenkins County,Jon Ossoff,DEM,1194
Georgia,Jenkins County,Shane Hazel,LIB,51
Georgia,Johnson County,David Perdue,REP,2801
Georgia,Johnson County,Jon Ossoff,DEM,1158
Georgia,Johnson County,Shane Hazel,LIB,75
Georgia,Jones County,David Perdue,REP,9854
Georgia,Jones County,Jon Ossoff,DEM,4687
Georgia,Jones County,Shane Hazel,LIB,301
Georgia,Lamar County,David Perdue,REP,6272
Georgia,Lamar County,Jon Ossoff,DEM,2508
Georgia,Lamar County,Shane Hazel,LIB,197
Georgia,Lanier County,David Perdue,REP,2481
Georgia,Lanier County,Jon Ossoff,DEM,944
Georgia,Lanier County,Shane Hazel,LIB,94
Georgia,Laurens County,David Perdue,REP,14349
Georgia,Laurens County,Jon Ossoff,DEM,7674
Georgia,Laurens County,Shane Hazel,LIB,413
